         Planet Name  |   Pl. Mass  |     Pl. Period   |   Pl. Semi-axis  |   Pl. Ecc  |  Pl. Incl  |     Ang. Dist   |   St. Dist  |  St. Spec. Type  |  St. Mass  |  St. [Fe/H]  |  St. Right Asc.  |     St. Decli.   |  
         HD 189733 b  |      1.15   |       2.218573   |        0.0313    |        0   |   85.79    |      0.001622   |      19.3   |        K1-K2     |      0.8   |     -0.03    |        20 00 43  |       +22 42 39  |  
         HD 190228 b  |      4.99   |           1127   |          2.31    |     0.43   |            |         0.035   |     66.11   |         G5IV     |      1.3   |     -0.24    |        20 03 00  |       +28 18 24  |  
         HD 190360 b  |     1.502   |           2891   |          3.92    |     0.36   |            |      0.246696   |     15.89   |        G6 IV     |     0.96   |      0.24    |        20 03 37  |       +29 53 48  |  
         HD 190360 c  |     0.057   |           17.1   |         0.128    |     0.01   |            |      0.008055   |     15.89   |        G6 IV     |     0.96   |      0.24    |        20 03 37  |       +29 53 48  |  
         HD 192263 b  |      0.72   |         24.348   |          0.15    |        0   |            |      0.007538   |      19.9   |         K2 V     |     0.79   |      -0.2    |        20 13 59  |       -00 52 00  |  
         HD 195019 b  |      3.67   |        18.2008   |         0.138    |    0.014   |            |        0.0069   |        20   |      G3 IV-V     |     1.06   |      0.08    |        20 28 17  |       +18 46 12  |  
         HD 196050 b  |         3   |           1289   |           2.5    |     0.28   |            |      0.053305   |      46.9   |         G3 V     |      1.1   |         0    |        20 37 51  |       -60 38 04  |  
         HD 196885 b  |      1.84   |            386   |          1.12    |      0.3   |            |         0.034   |        33   |         F8IV     |     1.27   |     -0.39    |        20 39 51  |       +11 14 58  |  
          HD 19994 b  |         2   |            454   |           1.3    |      0.2   |            |         0.058   |     22.38   |         F8 V     |     1.35   |      0.23    |        03 12 46  |       -01 11 45  |  
         HD 202206 b  |      17.4   |         255.87   |          0.83    |    0.435   |            |         0.018   |     46.34   |         G6 V     |     1.15   |      0.37    |        21 14 57  |       -20 47 21  |  
         HD 202206 c  |      2.44   |         1383.4   |          2.55    |    0.267   |            |         0.055   |     46.34   |         G6 V     |     1.15   |      0.37    |        21 14 57  |       -20 47 21  |  
          HD 20367 b  |      1.07   |            500   |          1.25    |     0.23   |            |         0.046   |        27   |           G0     |     1.04   |       0.1    |        03 17 40  |       +31 07 37  |  
           HD 2039 b  |      4.85   |       1192.582   |          2.19    |     0.68   |            |         0.024   |      89.8   |   G2/G3 IV-V     |     0.98   |       0.1    |        00 24 20  |       -56 39 00  |  
          HD 20782 b  |       1.8   |         585.86   |          1.36    |     0.92   |            |      0.037757   |     36.02   |         G2 V     |        1   |     -0.05    |        03 20 03  |       -28 51 14  |  
         HD 208487 b  |      0.45   |            123   |          0.49    |     0.32   |            |      0.010889   |        45   |          G2V     |      1.3   |     -0.06    |        21 57 19  |       -37 45 49  |  
         HD 209458 b  |      0.69   |     3.52474859   |         0.045    |     0.07   |   86.93    |      0.000957   |        47   |         G0 V     |     1.01   |      0.04    |        22 03 10  |       +18 53 04  |  
         HD 210277 b  |      1.23   |          442.1   |           1.1    |    0.472   |            |          0.05   |        22   |           G0     |     0.92   |      0.19    |        22 09 29  |       -07 32 32  |  
         HD 212301 b  |      0.45   |          2.457   |         0.036    |        0   |            |      0.000683   |      52.7   |         F8 V     |     1.05   |     -0.18    |        22 27 30  |       -77 43 04  |  
         HD 213240 b  |       4.5   |            951   |          2.03    |     0.45   |            |          0.05   |     40.75   |        G4 IV     |     1.22   |      0.23    |        22 31 00  |       -49 25 59  |  
         HD 216435 b  |      1.49   |       1442.919   |           2.7    |     0.34   |            |         0.081   |      33.3   |         G0 V     |     1.25   |      0.15    |        22 53 37  |       -48 35 53  |  
         HD 216437 b  |       2.1   |           1294   |           2.7    |     0.34   |            |         0.102   |      26.5   |      G4 IV-V     |     1.07   |         0    |        22 54 39  |       -70 04 25  |  
         HD 216770 b  |      0.65   |         118.45   |          0.46    |     0.37   |            |         0.012   |        38   |         K1 V     |      0.9   |      0.23    |        22 55 53  |       -26 39 31  |  
         HD 217107 b  |      1.33   |        7.12689   |         0.073    |    0.132   |            |      0.001973   |        37   |        G8 IV     |     1.02   |      0.37    |        22 58 15  |       -02 23 42  |  
         HD 217107 c  |       2.5   |           3352   |          4.41    |    0.537   |            |      0.119189   |        37   |        G8 IV     |     1.02   |      0.37    |        22 58 15  |       -02 23 42  |  
         HD 219449 b  |       2.9   |            182   |           0.3    |            |            |      0.006667   |        45   |       K0 III     |            |    -0.085    |        23 15 53  |       -09 05 15  |  
         HD 222582 b  |      5.11   |            572   |          1.35    |     0.76   |            |         0.032   |        42   |           G5     |        1   |     -0.01    |        23 41 51  |       -05 59 08  |  
         HD 224693 b  |      0.71   |          26.73   |         0.233    |     0.05   |            |      0.002479   |        94   |         G2IV     |     1.33   |     0.343    |        23 59 54  |       -22 25 41  |  
          HD 23079 b  |      2.61   |        738.459   |          1.65    |      0.1   |            |         0.047   |      34.8   |      F8/G0 V     |      1.1   |     -0.24    |        03 39 43  |       -52 54 57  |  
          HD 23596 b  |      7.19   |           1558   |          2.72    |    0.314   |            |         0.052   |        52   |           F8     |     1.27   |      0.32    |        03 48 00  |       +40 31 50  |  
           HD 2638 b  |      0.48   |         3.4442   |         0.044    |        0   |            |      0.000819   |     53.71   |           G5     |     0.93   |      0.16    |        00 29 59  |       -05 45 50  |  
          HD 27442 b  |      1.28   |        423.841   |          1.18    |     0.07   |            |      0.065193   |      18.1   |      K2 IV a     |      1.2   |       0.2    |        04 16 29  |       -59 18 07  |  
          HD 27894 b  |      0.62   |         17.991   |         0.122    |    0.049   |            |      0.002879   |     42.37   |         K2 V     |     0.75   |       0.3    |        04 20 47  |       -59 24 39  |  
          HD 28185 b  |       5.7   |            383   |          1.03    |     0.07   |            |         0.026   |      39.4   |           G5     |     0.99   |      0.24    |        04 26 26  |       -10 33 02  |  
          HD 30177 b  |      9.17   |       2819.654   |          3.86    |      0.3   |            |          0.07   |        55   |         G8 V     |     0.95   |      0.25    |        04 41 54  |       -58 01 14  |  
         HD 330075 b  |      0.76   |          3.369   |         0.043    |        0   |            |      0.000857   |      50.2   |           G5     |     0.95   |      0.03    |        15 49 37  |       -49 57 48  |  
          HD 33283 b  |      0.33   |         18.179   |         0.168    |     0.48   |            |      0.001953   |        86   |          G3V     |     1.24   |     0.366    |        05 08 01  |       -26 47 50  |  
          HD 33564 b  |       9.1   |            388   |           1.1    |     0.34   |            |      0.052431   |     20.98   |         F6 V     |     1.25   |     -0.12    |        05 22 33  |       +79 13 52  |  
          HD 33636 b  |      9.28   |       2447.292   |          3.56    |     0.53   |            |         0.124   |      28.7   |         G0 V     |     0.99   |     -0.13    |        05 11 46  |       +04 24 12  |  
          HD 34445 b  |      0.58   |            126   |          0.51    |      0.4   |            |         0.011   |        48   |           G0     |     1.11   |     -0.01    |        05 17 40  |       +07 21 12  |  
           HD 3651 b  |       0.2   |          62.23   |         0.284    |     0.63   |            |      0.025818   |        11   |         K0 V     |     0.79   |      0.05    |        00 39 21  |       +21 15 01  |  
          HD 37124 b  |      0.61   |         154.46   |          0.53    |    0.055   |            |      0.016061   |        33   |         G4 V     |     0.91   |     -0.32    |        05 37 02  |       +20 43 50  |  
          HD 37124 c  |     0.683   |           2295   |          3.19    |      0.2   |            |      0.096667   |        33   |         G4 V     |     0.91   |     -0.32    |        05 37 02  |       +20 43 50  |  
          HD 37124 d  |       0.6   |          843.6   |          1.64    |     0.14   |            |      0.049697   |        33   |         G4 V     |     0.91   |     -0.32    |        05 37 02  |       +20 43 50  |  
          HD 37605 b  |       2.3   |             55   |          0.25    |    0.677   |            |      0.005828   |      42.9   |          K0V     |      0.8   |      0.39    |        05 40 01  |       +06 03 38  |  
          HD 38529 b  |      0.78   |         14.309   |         0.129    |     0.29   |            |         0.003   |     42.43   |        G4 IV     |     1.39   |     0.313    |        05 46 34  |       +01 10 05  |  
          HD 38529 c  |      12.7   |         2174.3   |          3.68    |     0.36   |            |         0.087   |     42.43   |        G4 IV     |     1.39   |     0.313    |        05 46 34  |       +01 10 05  |  
          HD 39091 b  |     10.35   |       2063.818   |          3.29    |     0.62   |            |          0.16   |     20.55   |        G1 IV     |      1.1   |      0.09    |        05 37 09  |       -80 28 08  |  
          HD 40979 b  |      3.32   |          267.2   |         0.811    |     0.23   |            |         0.024   |      33.3   |         F8 V     |     1.08   |     0.194    |        06 04 29  |       +44 15 37  |  
        HD 41004 A b  |       2.3   |            655   |          1.31    |     0.39   |            |         0.031   |      42.5   |         K1 V     |      0.7   |     -0.09    |        05 59 49  |       -48 14 22  |  
        HD 41004 B b  |      18.4   |         1.3283   |        0.0177    |    0.081   |            |      0.000411   |     43.03   |           M2     |      0.4   |     -0.01    |        05 59 50  |        48 14 23  |  
           HD 4203 b  |      1.65   |        400.944   |          1.09    |     0.46   |            |         0.014   |      77.5   |           G5     |     1.06   |      0.22    |        00 44 41  |       +20 26 56  |  
           HD 4208 b  |       0.8   |        812.197   |          1.67    |     0.05   |            |         0.049   |      33.9   |         G5 V     |     0.93   |     -0.24    |        00 44 26  |       -26 30 56  |  
           HD 4308 b  |     0.047   |          15.56   |         0.114    |        0   |            |      0.005205   |      21.9   |         G5 V     |     0.83   |     -0.31    |        00 44 39  |       -65 38 58  |  
          HD 45350 b  |      1.79   |         890.76   |          1.92    |    0.778   |            |      0.039184   |        49   |        G5 IV     |     1.02   |      0.29    |        06 28 45  |       +38 57 46  |  
          HD 46375 b  |     0.249   |          3.024   |         0.041    |     0.04   |            |         0.001   |      33.4   |        K1 IV     |        1   |      0.25    |        06 33 12  |       +05 27 46  |  
          HD 47536 b  |      4.96   |         712.13   |          1.61    |      0.2   |            |      0.013266   |    121.36   |       K1 III     |      1.1   |              |        06 37 47  |       -32 20 23  |  
          HD 49674 b  |      0.11   |          4.948   |        0.0568    |     0.16   |            |      0.001396   |      40.7   |         G5 V     |        1   |      0.25    |        06 51 30  |       +40 52 03  |  
          HD 50499 b  |      1.71   |         2582.7   |          3.86    |     0.23   |            |      0.081676   |     47.26   |         G IV     |     1.27   |      0.23    |        06 52 02  |       -33 54 56  |  
          HD 50554 b  |       4.9   |           1279   |          2.38    |     0.42   |            |         0.077   |     31.03   |           F8     |      1.1   |      0.02    |        06 54 42  |       +24 14 44  |  
          HD 52265 b  |      1.13   |         118.96   |          0.49    |     0.29   |            |         0.017   |        28   |         G0 V     |     1.13   |      0.11    |        07 00 18  |       -05 22 01  |  
          HD 59686 b  |      5.25   |            303   |         0.911    |        0   |            |      0.009902   |        92   |       K2 III     |            |              |        07 31 48  |       +17 05 09  |  
          HD 62509 b  |       2.9   |         589.64   |          1.69    |     0.02   |            |      0.163443   |     10.34   |       K0IIIb     |     1.86   |      0.19    |        07 45 18  |       +28 01 34  |  
          HD 63454 b  |      0.38   |        2.81782   |         0.036    |        0   |            |      0.001006   |      35.8   |         K4 V     |      0.8   |      0.11    |        07 39 21  |       -78 16 44  |  
           HD 6434 b  |      0.48   |          22.09   |          0.15    |      0.3   |            |         0.004   |     40.32   |        G3 IV     |        1   |     -0.52    |        01 04 40  |       -39 29 17  |  
          HD 65216 b  |      1.21   |          613.1   |          1.37    |     0.41   |            |          0.04   |      34.3   |         G5 V     |     0.92   |     -0.12    |         07 53 4  |       -63 38 50  |  
          HD 66428 b  |      2.82   |           1973   |          3.18    |    0.465   |            |      0.057818   |        55   |           G5     |    1.146   |      0.31    |        08 03 28  |       -01 09 45  |  
          HD 68988 b  |       1.9   |          6.276   |         0.071    |     0.14   |            |         0.001   |        58   |           G0     |      1.2   |      0.24    |        08 18 22  |       +61 27 38  |  
          HD 69830 b  |     0.033   |          8.667   |        0.0785    |      0.1   |            |       0.00623   |      12.6   |          K0V     |     0.86   |     -0.05    |        08 18 23  |       -12 37 55  |  
          HD 69830 c  |     0.038   |          31.56   |         0.186    |     0.13   |            |      0.014762   |      12.6   |          K0V     |     0.86   |     -0.05    |        08 18 23  |       -12 37 55  |  
          HD 69830 d  |     0.058   |            197   |          0.63    |     0.07   |            |          0.05   |      12.6   |          K0V     |     0.86   |     -0.05    |        08 18 23  |       -12 37 55  |  
          HD 70642 b  |         2   |           2231   |           3.3    |      0.1   |            |         0.114   |        29   |      G5 IV-V     |        1   |      0.16    |        08 21 28  |       -39 42 19  |  
          HD 72659 b  |      2.96   |         3177.4   |          4.16    |      0.2   |            |      0.080934   |      51.4   |         GO V     |     0.95   |     -0.14    |        08 34 03  |       -01 34 05  |  
          HD 73256 b  |      1.87   |        2.54858   |         0.037    |     0.03   |            |      0.001014   |      36.5   |        G8/K0     |     1.05   |      0.29    |        08 36 23  |       -30 02 15  |  
          HD 73526 b  |       2.9   |          188.3   |          0.66    |     0.19   |            |      0.006667   |        99   |         G6 V     |     1.02   |      0.28    |        08 37 16  |       -41 19 08  |  
